identifier,name,symbol,type,coingecko,cryptocompare,started
CFX,Conflux Token,CFX,own_chain,conflux-token,CFX,1604970000
WAXP,WAX,WAXP,own_chain,wax,WAXP,1528419600
DON,Donnie Finance,DON,own_chain,donnie-finance,,1615954083
XYM,Symbol,XYM,own_chain,symbol,XYM,1616131249
PCX,ChainX,PCX,own_chain,chainx,PCX,1564624800
FLUX,Flux,FLUX,own_chain,zelcash,FLUX,1564624800
ADAHALF,0.5X Long Cardano Token,ADAHALF,other,0-5x-long-cardano-token,ADAHALF,1602986400
ADAHEDGE,1X Short Cardano Token,ADAHEDGE,other,1x-short-cardano-token,ADAHEDGE,1596852000
ALGOHALF,0.5X Long Algorand Token,ALGOHALF,other,0-5x-long-algorand-token,ALGOHALF,1597740237
ALTHALF,0.5X Long Altcoin Index Token,ALTHALF,other,0-5x-long-altcoin-index-token,ALTHALF,1603332000
ATOMHALF,0.5X Long Cosmos Token,ATOMHALF,other,0-5x-long-cosmos-token,ATOMHALF,1597024824
ATOMHEDGE,1X Short Cosmos Token,ATOMHEDGE,other,1x-short-cosmos-token,ATOMHEDGE,1597024824
BALBEAR,3X Short Balancer Token,BALBEAR,other,3x-short-balancer-token,BALBEAR,1618510059
BALBULL,3X Long Balancer Token ,BALBULL,other,3x-long-balancer-token,BALBULL,1596679200
BALHALF,0.5X Long Balancer Token,BALHALF,other,0-5x-long-balancer-token,BALHALF,1604451600
BALHEDGE,1X Short Balancer Token,BALHEDGE,other,,BALHEDGE,1616000400
BCHHALF,0.5X Long Bitcoin Cash Token,BCHHALF,other,0-5x-long-bitcoin-cash-token,BCHHALF,1596722400
BNBHALF,0.5X Long BNB Token,BNBHALF,other,,BNBHALF,1616000400
BSVHALF,0.5X Long Bitcoin SV Token,BSVHALF,other,0-5x-long-bitcoin-sv-token,BSVHALF,1596679200
BSVHEDGE,1X Short Bitcoin SV Token,BSVHEDGE,other,,BSVHEDGE,1558089174
COMPBEAR,3X Short Compound Token Token,COMPBEAR,other,3x-short-compound-token-token,COMPBEAR,1596679200
COMPBULL,3X Long Compound Token Token,COMPBULL,other,3x-long-compound-token-token,COMPBULL,1596679200
COMPHALF,0.5X Long Compound Token Token,COMPHALF,other,,COMPHALF,1616997600
COMPHEDGE,1X Short Compound Token Token,COMPHEDGE,other,1x-short-compound-token-token,COMPHEDGE,1597111200
CUSDTBEAR,3X Short Compound USDT Token,CUSDTBEAR,other,3x-short-compound-usdt-token,CUSDTBEAR,1597370400
CUSDTBULL,3X Long Compound USDT Token,CUSDTBULL,other,3x-long-compound-usdt-token,CUSDTBULL,1596852000
CUSDTHALF,0.5X Long Compound USDT Token,CUSDTHALF,other,,CUSDTHALF,1616000400
CUSDTHEDGE,1X Short Compound USDT Token,CUSDTHEDGE,other,1x-short-compound-usdt-token,CUSDTHEDGE,1604451600
DEFIBEAR,3X Short DeFi Index Token,DEFIBEAR,other,3x-short-defi-index-token,DEFIBEAR,1596679200
DEFIBULL,3X Long DeFi Index Token,DEFIBULL,other,3x-long-defi-index-token,DEFIBULL,1596679200
DEFIHALF,0.5X Long DeFi Index Token,DEFIHALF,other,0-5x-long-defi-index-token,DEFIHALF,1597111200
DEFIHEDGE,1X Short DeFi Index Token,DEFIHEDGE,other,1x-short-defi-index-token,DEFIHEDGE,1597111200
DOGEHALF,0.5X Long Dogecoin Token,DOGEHALF,other,0-5x-long-dogecoin-token,DOGEHALF,1604451600
DOGEHEDGE,1X Short Dogecoin Token,DOGEHEDGE,other,1x-short-dogecoin-token,DOGEHEDGE,1597111200
DRGNHALF,0.5X Long Dragon Index Token,DRGNHALF,other,0-5x-long-dragon-index-token,DRGNHALF,1604451600
DRGNHEDGE,1X Short Dragon Index Token,DRGNHEDGE,other,,DRGNHEDGE,1604451600
EOSHALF,0.5X Long EOS Token,EOSHALF,other,0-5x-long-eos-token,EOSHALF,1597370400
ETCHALF,0.5X Long Ethereum Classic Token,ETCHALF,other,0-5x-long-ethereum-classic-token,ETCHALF,1596679200
ETCHEDGE,1X Short Ethereum Classic Token,ETCHEDGE,other,,ETCHEDGE,1592787600
ETHHALF,0.5X Long Ethereum Token,ETHHALF,other,0-5x-long-ethereum-token,ETHHALF,1596765600
EXCHHALF,0.5X Long Exchange Token Index Token,EXCHHALF,other,0-5x-long-echange-token-index-token,EXCHHALF,1596765600
HALF,0.5X Long Bitcoin Token,HALF,other,0-5x-long-bitcoin-token,HALF,1596765600
HALFSHIT,0.5X Long Shitcoin Index Token,HALFSHIT,other,0-5x-long-shitcoin-index-token,HALFSHIT,1597975200
HTHALF,0.5X Long Huobi Token Token,HTHALF,other,,HTHALF,1592791200
KNCBEAR,3X Short Kyber Network Token,KNCBEAR,other,3x-short-kyber-network-token,KNCBEAR,1650062944
KNCBULL,3X Long Kyber Network Token,KNCBULL,other,3x-long-kyber-network-token,KNCBULL,1596722400
KNCHALF,0.5X Long Kyber Network Token,KNCHALF,other,0-5x-long-kyber-network-token,KNCHALF,1596722400
KNCHEDGE,1X Short Kyber Network Token,KNCHEDGE,other,,KNCHEDGE,1592186400
LEOHALF,0.5X Long LEO Token,LEOHALF,other,,LEOHALF,1590372000
LEOHEDGE,1X Short LEO Token,LEOHEDGE,other,,LEOHEDGE,1564963200
LINKHALF,0.5X Long Chainlink Token,LINKHALF,other,0-5x-long-chainlink-token,LINKHALF,1598234400
LINKHEDGE,1X Short Chainlink Token,LINKHEDGE,other,1x-short-chainlink-token,LINKHEDGE,1596852000
LTCHALF,0.5X Long Litecoin Token,LTCHALF,other,,LTCHALF,1589767200
MATICHALF,0.5X Long Matic Token,MATICHALF,other,0-5x-long-matic-token,MATICHALF,1597716000
MATICHEDGE,1X Short Matic Token,MATICHEDGE,other,1x-short-matic-token,MATICHEDGE,1597111200
MIDHALF,0.5X Long Midcap Index Token,MIDHALF,other,0-5x-long-midcap-index-token,MIDHALF,1597308232
MIDHEDGE,1X Short Midcap Index Token,MIDHEDGE,other,,MIDHEDGE,1592791200
MKRBEAR,3X Short Maker Token,MKRBEAR,other,3x-short-maker-token,MKRBEAR,1597024800
MKRBULL,3X Long Maker Token,MKRBULL,other,3x-long-maker-token,MKRBULL,1596765600
OKBHALF,0.5X Long OKB Token,OKBHALF,other,0-5x-long-okb-token,OKBHALF,1596765600
PAXGHALF,0.5X Long PAX Gold Token,PAXGHALF,other,0-5x-long-pax-gold-token,PAXGHALF,1599616800
PAXGHEDGE,1X Short PAX Gold Token,PAXGHEDGE,other,,PAXGHEDGE,1589767200
PRIVBEAR,3X Short Privacy Index Token,PRIVBEAR,other,3x-short-privacy-index-token,PRIVBEAR,1596679200
PRIVBULL,3X Long Privacy Index Token,PRIVBULL,other,3x-long-privacy-index-token,PRIVBULL,1618536783
PRIVHALF,0.5X Long Privacy Index Token,PRIVHALF,other,0-5x-long-privacy-index-token,PRIVHALF,1603332000
PRIVHEDGE,1X Short Privacy Index Token,PRIVHEDGE,other,1x-short-privacy-index-token,PRIVHEDGE,1603332000
SUSHIBEAR,3X Short Sushi Token,SUSHIBEAR,other,3x-short-sushi-token,SUSHIBEAR,1600221600
SUSHIBULL,3X Long Sushi Token,SUSHIBULL,other,3x-long-sushi-token,SUSHIBULL,1600308000
SXPBEAR,3X Short Swipe Token,SXPBEAR,other,3x-short-swipe-token,SXPBEAR,1596679200
SXPBULL,3X Long Swipe Token,SXPBULL,other,3x-long-swipe-token,SXPBULL,1596852000
SXPHALF,0.5X Long Swipe Token,SXPHALF,other,0-5x-long-swipe-token,SXPHALF,1596852000
SXPHEDGE,1X Short Swipe Token,SXPHEDGE,other,1x-short-swipe-token,SXPHEDGE,1597111200
THETABEAR,3X Short Theta Network Token,THETABEAR,other,3x-short-theta-network-token,THETABEAR,1596679200
THETABULL,3X Long Theta Network Token,THETABULL,other,3x-long-theta-network-token,THETABULL,1596679200
THETAHALF,0.5X Long Theta Network Token,THETAHALF,other,0-5x-long-theta-network-token,THETAHALF,1596679200
THETAHEDGE,1X Short Theta Network Token,THETAHEDGE,other,1x-short-theta-network-token,THETAHEDGE,1597024800
TOMOHALF,0.5X Long TomoChain Token,TOMOHALF,other,,TOMOHALF,1597024800
TOMOHEDGE,1X Short TomoChain Token,TOMOHEDGE,other,1x-short-tomochain-token,TOMOHEDGE,1596765600
TRXHALF,0.5X Long TRX Token,TRXHALF,other,,TRXHALF,1590372000
TRYBHALF,0.5X Long BiLira Token,TRYBHALF,other,,TRYBHALF,1592816322
TRYBHEDGE,1X Short BiLira Token,TRYBHEDGE,other,,TRYBHEDGE,1592816322
UNISWAPBEAR,3X Short Uniswap Index Token,UNISWAPBEAR,other,,UNISWAPBEAR,1601888322
UNISWAPBULL,3X Long Uniswap Index Token,UNISWAPBULL,other,,UNISWAPBULL,1601888322
USDTHALF,0.5X Long Tether Token,USDTHALF,other,,USDTHALF,1591014296
USDTHEDGE,1X Short Tether Token,USDTHEDGE,other,,USDTHEDGE,1606134296
VETBEAR,3X Short VeChain Token,VETBEAR,other,3x-short-vechain-token,VETBEAR,1596679200
VETBULL,3X Long VeChain Token,VETBULL,other,3x-long-vechain-token,VETBULL,1596679200
VETHEDGE,1X Short VeChain Token,VETHEDGE,other,1x-short-vechain-token,VETHEDGE,1597148696
XAUTHALF,0.5X Long Tether Gold Token,XAUTHALF,other,0-5x-long-tether-gold-token,XAUTHALF,1599660000
XAUTHEDGE,1X Short Tether Gold Token,XAUTHEDGE,other,,XAUTHEDGE,1593439200
XRPHALF,0.5X Long XRP Token,XRPHALF,other,0-5x-long-xrp-token,XRPHALF,1596679200
XTZHALF,0.5X Long Tezos Token,XTZHALF,other,0-5x-long-tezos-token,XTZHALF,1596679200
XTZHEDGE,1X Short Tezos Token,XTZHEDGE,other,1x-short-tezos-token,XTZHEDGE,1596679200
BTMXHALF,0.5X Long BitMax Token Token,BTMXHALF,other,,BTMXHALF,1586736000
BTMXHEDGE,1X Short BitMax Token Token,BTMXHEDGE,other,,BTMXHEDGE,1571616000
WIN-3,WINk,WIN,tron_token,wink,WIN,1562532570
MTC-3,Metacoin,MTC,own_chain,metacoin,METAC,1559692800
BAR,FC Barcelona Fan Token,BAR,other,fc-barcelona-fan-token,BAR,1557885600
ICP,Internet Computer,ICP,other,internet-computer,ICP,1620673391
BAG,Baguette,BAG,other,baguette,,1618757419
MHC,#MetaHash,MHC,other,metahash,MHC,1550624400
ANC,Anchor Protocol,ANC,other,anchor-protocol,ANC,1615986013
MEDIA,Media Network,MEDIA,solana_token,media-network,MEDIA,1619799163
STEP,Step Finance,STEP,solana_token,step-finance,STEP,1619335055
LNCHX,LaunchX,LNCHX,binance_token,launchx,,1620720017
POLX,Polylastic,POLX,binance_token,polylastic,POLX,1619730927
NDAU,Ndau,NDAU,other,ndau,XND,1569891600
MINA,Mina Protocol,MINA,other,mina-protocol,MINA,1622513694
APL,Apollo,APL,other,apollo,APL,1533607200
VEED,VEED,VEED,other,veed,VEED,1622439185
NFT,APENFT,NFT,tron_token,apenft,NFT,1620923193
MIMO,Mimosa,MIMO,other,mimosa,,1614560400
SLRS,Solrise Finance,SLRS,other,solrise-finance,SLRS,1625583749
SNY,Synthetify Token,SNY,solana_token,synthetify-token,SNY,1625829480
ARRR,Pirate Chain,ARRR,other,pirate-chain,ARRR,1549760400
CEUR,Celo Euro,CEUR,other,celo-euro,CEUR,1624957291
DEXA,DEXA COIN,DEXA,other,dexa-coin,DEXA,1571364000
ICA,Icarus,ICA,binance_token,icarus-finance,ICA,1571364000
SIGNA,Signum,SIGNA,own_chain,signum,SIGNA,1402531200
INR,Indian Rupee,INR,fiat,,,
UNIDOWN,UNIDOWN,UNIDOWN,other,,UNIDOWN,1603785600
UNIUP,UNIUP,UNIUP,other,,UNIUP,1603785600
COIN,Coinbase Tokenized Stock on FTX,COIN,other,coinbase-stock,COIN,1618394685
COIN-2,Coinbase Tokenized Stock on Bittrex,COIN-2,other,coinbase-stock-bittrex,,1618913796
SSX,SOMESING,SSX,own_chain,somesing,SSX,1575939600
AAVEUP,AAVEUP,AAVEUP,other,,AAVEUP,1606374000
AAVEDOWN,AAVEDOWN,AAVEDOWN,other,,AAVEDOWN,1606374000
KAR,Karura,KAR,own_chain,karura,KAR,1626793207
ERG,Ergo,ERG,own_chain,ergo,ERG,1517533200
XEC,eCash,XEC,own_chain,ecash,XEC,1625230984
MNGO,Mango,MNGO,solana_token,mango-markets,MNGO,1628748149
XRD,Radix,XRD,own_chain,radix,EXRD,1629739294
XCH,Chia,XCH,own_chain,chia,XCH,1620093600
MER-2,Mercurial,MER,solana_token,mercurial,MER,1621548000
CRTS,Cratos,CRTS,own_chain,cratos,CRTS,1627318945
LUMI,LUMI Credits,LUMI,tron_token,lumi-credits,LUMI,1624449600
DKK,Danish krone,DKK,fiat,,,
MOVR,Moonriver,MOVR,own_chain,moonriver,MOVR,1630065629
ATLAS,Star Atlas,ATLAS,solana_token,star-atlas,ATLAS,1630598516
POLIS,Star Atlas DAO,POLIS,solana_token,star-atlas-dao,,1630598516
TULIP,SolFarm,TULIP,solana_token,solfarm,,1621821600
SDN,Shiden Network,SDN,own_chain,shiden,SDN,1630306937
XPRT,Persistence,XPRT,own_chain,persistence,XPRT,1617242400
BP,BunnyPark,BP,own_chain,bunnypark,BP,1618814346
CITY,Manchester City Fan Token,CITY,other,manchester-city-fan-token,CITY,1621908000
INTER,Inter Milan Fan Token,INTER,other,inter-milan-fan-token,INTER,1631620931
GAL,Galatasaray Fan Token,GAL,other,galatasaray-fan-token,GAL,1591322400
DVPN,Sentinel,DVPN,other,sentinel,DVPN,1618884000
SKU,Sakura,SKU,other,sakura,SKU,1629388862
SLIM,Solanium,SLIM,solana_token,solanium,SLIM,1622512800
OXY,Oxygen,OXY,solana_token,oxygen,OXY,1615856400
SOLR,SolRazr,SOLR,solana_token,solrazr,SOLR,1633705444
SIENNA,Sienna,SIENNA,own_chain,sienna,,1631055999
YCE,MYCE,YCE,own_chain,myce,YCE,1519696800
RTM,Raptoreum,RTM,own_chain,raptoreum,RTM,1615942800
AURY,Aurory,AURY,solana_token,aurory,AURY,1635102002
BNC,Bifrost Native Coin,BNC,other,bifrost-native-coin,,1635102002
MSOL,Marinade staked SOL,MSOL,solana_token,msol,MSOL,1629183679
STSOL,Lido Staked SOL,STSOL,solana_token,lido-staked-sol,STSOL,1631682230
SHX,Stronghold Token,SHX,other,stronghold-token,SHX,1634726627
RMRK,RMRK,RMRK,other,rmrk,RMRK,1631714166
PORT,Port Finance,PORT,solana_token,port-finance,PORT,1628647200
SLND,Solend,SLND,solana_token,solend,SLND,1635956701
STARS,StarLaunch,STARS,solana_token,starlaunch,,1636567511
BSQ,Bisq DAO Token,BSQ,other,,,1555286400
KMA,Calamari Network,KMA,other,calamari-network,KMA,1638187453
ILA,Infinite Launch,ILA,other,infinite-launch,ILA,1637845387
CDEX,Codex,CDEX,other,codex,,1631030452
HTML,HTMLCOIN,HTML,other,htmlcoin,HTML,1529110800
KILT,KILT Protocol,KILT,own_chain,kilt-protocol,KILT,1638327727
OSMO,Osmosis,OSMO,other,osmosis,OSMO,1624240800
DESO,Decentralized Social,DESO,other,bitclout,DESO,1638678011
DFL,DeFi Land,DFL,solana_token,defi-land,,1637733724
MBS,MonkeyBall,MBS,solana_token,monkeyball,MBS,1640142002
GENE,Genopets,GENE,solana_token,genopets,GENE,1637244019
PRISM,Prism,PRISM,solana_token,prism,PRISM,1640235916
WNDR,WonderFi Tokenized Stock,WNDR,other,wonderfi-tokenized-stock,WNDR,1637823671
XTAG,xHashtag,XTAG,solana_token,xhashtag,XTAG,1638270194
MNET,MINE Network,MNET,other,mine-network,MNET,1638356494
HEART,Humans.ai,HEART,other,humans-ai,HEART,1639404115
FORWARD,Forward,FORWARD,other,forward,,1639404115
RACEFI,RaceFi,RACEFI,solana_token,racefi,RACEFI,1640214002
BITCI,Bitcicoin,BITCI,own_chain,bitcicoin,BITCI,1611968400
SGB,Songbird,SGB,own_chain,songbird,SGB,1632790800
KRRX,Kyrrex,KRRX,tron_token,kyrrex,KRRX,1631088136
CREDI,Credefi,CREDI,own_chain,credefi,CREDI,1639051360
PEL,Propel Token,PEL,own_chain,propel-token,PEL,1638893347
VI,Vybit,VI,solana_token,vybit,VI,1600048800
AUST,AnchorUST,AUST,other,anchorust,,1638331459
ILS,Israeli new shekel,ILS,fiat,,,
GLMR,Moonbeam,GLMR,other,moonbeam,GLMR,1641866631
ACA,Acala,ACA,other,acala,ACA,1643104930
HBB,Hubble,HBB,solana_token,hubble,HBB,1643375871
GARI,Gari Network,GARI,solana_token,gari-network,GARI,1642518168
KINT,Kintsugi,KINT,other,kintsugi,KINT,1641206425
ORCA,Orca,ORCA,solana_token,orca,ORCA,1597024800
PSY,PsyOptions,PSY,solana_token,psyoptions,PSY,1597024800
LOKA,League of Kingdoms,LOKA,own_chain,league-of-kingdoms,LOKA,1642694549
CCD,Concordium,CCD,own_chain,concordium,CCD,1644494465
CHNG,Chainge Finance,CHNG,own_chain,chainge-finance,CHNG,1624327200
MNFT,Mongol NFT,MNFT,other,mongol-nft,,1645167602
R1,Recast1,R1,other,recast1,R1,1640804937
STX,Stacks,STX,own_chain,blockstack,STX,1572055200
AIR,Altair,AIR,other,altair,,1644429687
KIN,Kin,KIN,solana_token,kin,KIN,1495670400
BTTOLD,BitTorrent [OLD],BTTOLD,tron_token,bittorrent-old,BTTOLD,1548633600
ASTR,Astar,ASTR,own_chain,astar,ASTR,1642431678
SBR,Saber,SBR,solana_token,saber,SBR,1626746400
REVU,Revuto,REVU,other,revuto,REVU,1641886550
FCON,SpaceFalcon,FCON,own_chain,spacefalcon,FCON,1643116271
MJT,MojitoSwap,MJT,other,mojitoswap,MJT,1641878361
WMT,World Mobile Token,WMT,other,world-mobile-token,WMT,1640304791
LQDR,Liquid Driver,LQDR,other,liquiddriver,LQDR,1620486477
SPIRIT,SpiritSwap Token,SPIRIT,other,spiritswap,SPIRIT,1619273671
SAMO,Samoyedcoin,SAMO,solana_token,samoyedcoin,SAMO,1651111200
GEIST,Geist Finance,GEIST,other,geist-finance,GEIST,1633483847
FRA,Findora,FRA,own_chain,findora,FRA,1618018247
ZBC,Zebec Protocol,ZBC,solana_token,zebec-protocol,,1647428607
VISION,VisionGame,VISION,solana_token,visiongame,VISION,1649937827
ARN,Arenum,ARN,own_chain,arenum,,1649765535
SLCL,Solcial,SLCL,solana_token,solcial,,1648224182
HAWK,Hawksight,HAWK,solana_token,hawksight,HAWK,1650546182
AKTIO,Aktio,AKTIO,own_chain,aktio,AKTIO,1649937718
DVK,Devikins,DVK,tron_token,devikins,,1649427466
MINE,SpaceMine,MINE,own_chain,spacemine,,1649923386
MTSP,Metasphere,MTSP,own_chain,metasphere,,1649476807
POPK,POPKON,POPK,own_chain,popkon,POPK,1649484203
WEMIX,WEMIX Token,WEMIX,own_chain,wemix-token,WEMIX,1604192400
GMT,STEPN,GMT,solana_token,stepn,GMT,1646834530
CFG,Centrifuge,CFG,own_chain,centrifuge,CFG,1616896800
GST-2,Green Satoshi Token,GST,solana_token,green-satoshi-token,,1640048400
PLD,Plutonian DAO,PLD,solana_token,plutonian-dao,PLD,1651325061
COOHA,CoolMining,COOHA,other,coolmining,,1651325061
PLN,Polish Zloty,PLN,fiat,,,
REI,REI Network,REI,own_chain,rei-network,REI,1650971081
USDD,USDD,USDD,tron_token,usdd,USDD,1651464107
PLY,Aurigami,PLY,tron_token,aurigami,,1649241804
CELT,Celestial,CELT,other,celestial,CELT,1633053600
MLS,Pikaster,MLS,other,pikaster,,1651776411
AFK,AFKDAO,AFK,other,afkdao,AFK,1653397388
TEDDY,TEDDY,TEDDY,avalanche_token,teddy,TEDDY,1629989893
LUNA-3,Terra,LUNA,own_chain,terra-luna-2,LUNA,1653739398
AED,Emirati Dirham,AED,fiat,,,
WELL,Moonwell Artemis,WELL,other,moonwell-artemis,,1652303490
GBPT,British Pound Sterling Tether,GBPT,other,british-pound-sterling-tether,,1657598401
IP3,Cripco,IP3,solana_token,cripco,IP3,1657594998
CSPR,Casper Network,CSPR,own_chain,casper-network,CSPR,1620784800
SRBS,Super Rare Ball Shares,SRBS,own_chain,super-rare-ball-shares,,1654081769
NPT,Neopin,NPT,own_chain,neopin,NPT,1646010000
INTR,Interlay,INTR,other,interlay,INTR,1657688550
TEER,Integritee,TEER,other,integritee,TEER,1638320400
CSC,Casinocoin,CSC,other,casinocoin,CSC,1516150800
KUB,Bitkub Coin,KUB,own_chain,bitkub-coin,KUB,1621821600
USDH,USDH,USDH,solana_token,usdh,USDH,1644022800
