identifier,address,chain,name,symbol,decimals,coingecko,cryptocompare,started,protocol
eip155:1/erc20:0xB6eD7644C69416d67B522e20bC294A9a9B405B31,0xB6eD7644C69416d67B522e20bC294A9a9B405B31,1,0xBitcoin,0xBTC,8,oxbitcoin,0XBTC,1517875200,
eip155:1/erc20:0x111111111117dC0aa78b770fA6A738034120C302,0x111111111117dC0aa78b770fA6A738034120C302,1,1INCH Token,1INCH,18,1inch,,1608747211,
eip155:1/erc20:0x0F72714B35a366285Df85886A2eE174601292A17,0x0F72714B35a366285Df85886A2eE174601292A17,1,1SG,1SG,18,1sg,,1545696000,
eip155:1/erc20:0xAf30D2a7E90d7DC361c8C4585e9BB7D2F6f15bc7,0xAf30D2a7E90d7DC361c8C4585e9BB7D2F6f15bc7,1,FirstBlood,1ST,18,first-blood,,1468022400,
eip155:1/erc20:0xfDBc1aDc26F0F8f8606a5d63b7D3a3CD21c22B23,0xfDBc1aDc26F0F8f8606a5d63b7D3a3CD21c22B23,1,1World,1WO,8,1world,,1512000000,
eip155:1/erc20:0xaEc98A708810414878c3BCDF46Aad31dEd4a4557,0xaEc98A708810414878c3BCDF46Aad31dEd4a4557,1,300 Token,300,18,,,1498694400,
eip155:1/erc20:0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,1,Aave Token,AAVE,18,aave,,1600970788,
eip155:1/erc20:0xB98d4C97425d9908E66E53A6fDf673ACcA0BE986,0xB98d4C97425d9908E66E53A6fDf673ACcA0BE986,1,Arcblock,ABT,18,arcblock,,1515196800,
eip155:1/erc20:0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6,0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6,1,The Abyss,ABYSS,18,the-abyss,,1511913600,
eip155:1/erc20:0x9A0aBA393aac4dFbFf4333B06c407458002C6183,0x9A0aBA393aac4dFbFf4333B06c407458002C6183,1,ACoconut ,AC,18,acoconut,,1601507639,
eip155:1/erc20:0x13F1b7FDFbE1fc66676D56483e21B1ecb40b58E2,0x13F1b7FDFbE1fc66676D56483e21B1ecb40b58E2,1,Accelerator Network,ACC,18,accelerator-network,ACCN,1507248000,
eip155:1/erc20:0x06147110022B768BA8F99A8f385df11a151A9cc8,0x06147110022B768BA8F99A8f385df11a151A9cc8,1,ACE (TokenStars),ACE,0,tokenstars-ace,,1509926400,
eip155:1/erc20:0x7bE00ed6796B21656732E8f739Fc1b8F1C53DA0D,0x7bE00ed6796B21656732E8f739Fc1b8F1C53DA0D,1,AC eXchange Token,ACXT,18,ac-exchange-token,ACXT,1602667438,
eip155:1/erc20:0xb3299d4BaB93Bf04d5b11bc49CD6DFAD1f77d23f,0xb3299d4BaB93Bf04d5b11bc49CD6DFAD1f77d23f,1,3X Short Cardano Token,ADABEAR,18,3x-short-cardano-token,,1580720441,
eip155:1/erc20:0x43dE1145Cd22f0a9Cc99e51c205e6e81161Df6B9,0x43dE1145Cd22f0a9Cc99e51c205e6e81161Df6B9,1,3X Long Cardano Token,ADABULL,18,3x-long-cardano-token,,1580720497,
eip155:1/erc20:0x2baac9330Cf9aC479D819195794d79AD0c7616e3,0x2baac9330Cf9aC479D819195794d79AD0c7616e3,1,adbank,ADB,18,adbank,,1510704000,
eip155:1/erc20:0x94d863173EE77439E4292284fF13fAD54b3BA182,0x94d863173EE77439E4292284fF13fAD54b3BA182,1,Akropolis Delphi,ADEL,18,akropolis-delphi,,1598950842,
eip155:1/erc20:0xE69a353b3152Dd7b706ff7dD40fe1d18b7802d31,0xE69a353b3152Dd7b706ff7dD40fe1d18b7802d31,1,AdHive,ADH,18,adhive,,1515456000,
eip155:1/erc20:0x8810C63470d38639954c6B41AaC545848C46484a,0x8810C63470d38639954c6B41AaC545848C46484a,1,Aditus,ADI,18,aditus,,1511395200,
eip155:1/erc20:0x660e71483785f66133548B10f6926dC332b06e61,0x660e71483785f66133548B10f6926dC332b06e61,1,Adelphoi,ADL,18,adelphoi,,1480982400,
eip155:1/erc20:0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,1,Adshares,ADST,0,adshares,ADS,1499171296,
eip155:1/erc20:0xD0D6D6C5Fe4a677D343cC433536BB717bAe167dD,0xD0D6D6C5Fe4a677D343cC433536BB717bAe167dD,1,adToken,ADT,9,adtoken,,1498435200,
eip155:1/erc20:0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,0xADE00C28244d5CE17D72E40330B1c318cD12B7c3,1,AdEx Network,ADX,18,adex,,1496102400,
eip155:1/erc20:0x4470BB87d77b963A013DB939BE332f927f2b992e,0x4470BB87d77b963A013DB939BE332f927f2b992e,1,AdEx,ADX,4,adex,,1496102400,
eip155:1/erc20:0xAE31b85Bfe62747d0836B82608B4830361a3d37a,0xAE31b85Bfe62747d0836B82608B4830361a3d37a,1,Aergo,AERGO,18,aergo,,1542844800,
eip155:1/erc20:0x8eB24319393716668D768dCEC29356ae9CfFe285,0x8eB24319393716668D768dCEC29356ae9CfFe285,1,SingularityNET,AGI,8,singularitynet,AGIX,1513296000,
eip155:1/erc20:0x37E8789bB9996CaC9156cD5F5Fd32599E6b91289,0x37E8789bB9996CaC9156cD5F5Fd32599E6b91289,1,AidCoin,AID,18,aidcoin,,1509580800,
eip155:1/erc20:0xD178b20c6007572bD1FD01D205cC20D32B4A6015,0xD178b20c6007572bD1FD01D205cC20D32B4A6015,1,AIDUS TOKEN,AID,18,aidus,AIDUS,1552002850,
eip155:1/erc20:0x27Dce1eC4d3f72C3E457Cc50354f1F975dDEf488,0x27Dce1eC4d3f72C3E457Cc50354f1F975dDEf488,1,Air token,AIR,8,,,1507161600,
eip155:1/erc20:0x1063ce524265d5a3A624f4914acd573dD89ce988,0x1063ce524265d5a3A624f4914acd573dD89ce988,1,Aigang,AIX,18,,,1510652536,
eip155:1/erc20:0x8Ab7404063Ec4DBcfd4598215992DC3F8EC853d7,0x8Ab7404063Ec4DBcfd4598215992DC3F8EC853d7,1,Akropolis,AKRO,18,akropolis,,1562371200,
eip155:1/erc20:0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0,0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0,1,AllianceBlock Token,ALBT,18,allianceblock,,1599479821,
eip155:1/erc20:0x27702a26126e0B3702af63Ee09aC4d1A084EF628,0x27702a26126e0B3702af63Ee09aC4d1A084EF628,1,aleph.im v2,ALEPH,18,aleph,PPAY,1601134720,
eip155:1/erc20:0x4289c043A12392F1027307fB58272D8EBd853912,0x4289c043A12392F1027307fB58272D8EBd853912,1,AiLink Token,ALI,18,ailink-token,,1516685501,
eip155:1/erc20:0xEA610B1153477720748DC13ED378003941d84fAB,0xEA610B1153477720748DC13ED378003941d84fAB,1,ALISmedia,ALIS,18,alis,,1503100800,
eip155:1/erc20:0xa1faa113cbE53436Df28FF0aEe54275c13B40975,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,1,Alpha Finance,ALPHA,18,alpha-finance,,1602288000,
eip155:1/erc20:0x49b127Bc33ce7E1586EC28CEC6a65b112596C822,0x49b127Bc33ce7E1586EC28CEC6a65b112596C822,1,ALAX,ALX,18,alax,,1516752000,
eip155:1/erc20:0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,0x4DC3643DbC642b72C158E7F3d2ff232df61cb6CE,1,Ambrosus,AMB,18,amber,,1500422400,
eip155:1/erc20:0x949bEd886c739f1A3273629b3320db0C5024c719,0x949bEd886c739f1A3273629b3320db0C5024c719,1,Amis,AMIS,9,amis,,1483404274,
eip155:1/erc20:0xCA0e7269600d353F70b14Ad118A49575455C0f2f,0xCA0e7269600d353F70b14Ad118A49575455C0f2f,1,AMLT,AMLT,18,coinfirm-amlt,,1510338416,
eip155:1/erc20:0x737F98AC8cA59f2C68aD658E3C3d8C8963E40a4c,0x737F98AC8cA59f2C68aD658E3C3d8C8963E40a4c,1,Amon,AMN,18,amon,,1519510871,
eip155:1/erc20:0x38c87AA89B2B8cD9B95b736e1Fa7b612EA972169,0x38c87AA89B2B8cD9B95b736e1Fa7b612EA972169,1,AMO Coin,AMO,18,amo,AMO,1522540800,
eip155:1/erc20:0xfF20817765cB7f73d4bde2e66e067E58D11095C2,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,1,Amp,AMP,18,amp-token,,1597148839,
eip155:1/erc20:0xD46bA6D942050d489DBd938a2C909A5d5039A161,0xD46bA6D942050d489DBd938a2C909A5d5039A161,1,Ampleforth,AMPL,9,ampleforth,,1560475588,
eip155:1/erc20:0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,1,Ankr Network,ANKR,18,ankr,,1550707200,
eip155:1/erc20:0xa117000000f279D81A1D3cc75430fAA017FA5A2e,0xa117000000f279D81A1D3cc75430fAA017FA5A2e,1,Aragon,ANT,18,aragon,ANT,1602761920,
eip155:1/erc20:0x960b236A07cf122663c4303350609A66A7B288C0,0x960b236A07cf122663c4303350609A66A7B288C0,1,Aragon,ANT,18,aragon,,1493942400,
eip155:1/erc20:0x9ab165D795019b6d8B3e971DdA91071421305e5a,0x9ab165D795019b6d8B3e971DdA91071421305e5a,1,Aurora,AOA,18,aurora,,1526428800,
eip155:1/erc20:0x0b38210ea11411557c13457D4dA7dC6ea731B88a,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,1,API3,API3,18,api3,,1604665283,
eip155:1/erc20:0x4C0fBE1BB46612915E7967d2C3213cd4d87257AD,0x4C0fBE1BB46612915E7967d2C3213cd4d87257AD,1,APIS,APIS,18,apis,,1520148246,
eip155:1/erc20:0x1a7a8BD9106F2B8D977E08582DC7d24c723ab0DB,0x1a7a8BD9106F2B8D977E08582DC7d24c723ab0DB,1,AppCoins,APPC,18,appcoins,,1509926400,
eip155:1/erc20:0x95a4492F028aa1fd432Ea71146b433E7B4446611,0x95a4492F028aa1fd432Ea71146b433E7B4446611,1,APY.Finance,APY,18,apy-finance,,1604545092,
eip155:1/erc20:0xaFBeC4D65BC7b116d85107FD05d912491029Bf46,0xaFBeC4D65BC7b116d85107FD05d912491029Bf46,1,ARBITRAGE,ARB,18,arbitraging,ARBT,1520208000,
eip155:1/erc20:0xAc709FcB44a43c35F0DA4e3163b117A17F3770f5,0xAc709FcB44a43c35F0DA4e3163b117A17F3770f5,1,Arcade City Token,ARC,18,,ARC*,1477872000,
eip155:1/erc20:0x1F3f9D3068568F8040775be2e8C03C103C61f3aF,0x1F3f9D3068568F8040775be2e8C03C103C61f3aF,1,Archer DAO Governance Token,ARCH,18,archer-dao-governance-token,,1606072001,
eip155:1/erc20:0x1245ef80F4d9e02ED9425375e8F649B9221b31D8,0x1245ef80F4d9e02ED9425375e8F649B9221b31D8,1,ArbitrageCT,ARCT,8,arbitragect,,1507248000,
eip155:1/erc20:0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,1,Aeron,ARN,8,aeron,,1502323200,
eip155:1/erc20:0xBA50933C268F567BDC86E1aC131BE072C6B0b71a,0xBA50933C268F567BDC86E1aC131BE072C6B0b71a,1,ARPA Chain,ARPA,18,arpa,,1555891200,
eip155:1/erc20:0xfec0cF7fE078a500abf15F1284958F22049c2C7e,0xfec0cF7fE078a500abf15F1284958F22049c2C7e,1,Maecenas,ART,18,maecenas,,1504471004,
eip155:1/erc20:0xa5F8fC0921880Cb7342368BD128eb8050442B1a1,0xa5F8fC0921880Cb7342368BD128eb8050442B1a1,1,Block Array,ARY,18,block-array,,1513296000,
eip155:1/erc20:0xFA2562da1Bba7B954f26C74725dF51fb62646313,0xFA2562da1Bba7B954f26C74725dF51fb62646313,1,ASSY Index,ASSY,18,assy-index,,1611336083,
eip155:1/erc20:0x27054b13b1B798B345b591a4d22e6562d47eA75a,0x27054b13b1B798B345b591a4d22e6562d47eA75a,1,AirSwap,AST,4,airswap,,1506384000,
eip155:1/erc20:0x7B22938ca841aA392C93dBB7f4c42178E3d65E88,0x7B22938ca841aA392C93dBB7f4c42178E3d65E88,1,Astro,ASTRO,4,astro,,1505606400,
eip155:1/erc20:0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,1,ATLANT,ATL,18,atlant,,1504299298,
eip155:1/erc20:0x9B11EFcAAA1890f6eE52C6bB7CF8153aC5d74139,0x9B11EFcAAA1890f6eE52C6bB7CF8153aC5d74139,1,ATMChain,ATM,8,,,,spam
eip155:1/erc20:0x97AEB5066E1A590e868b511457BEb6FE99d329F5,0x97AEB5066E1A590e868b511457BEb6FE99d329F5,1,Atonomi,ATMI,18,atonomi,,1527093185,
eip155:1/erc20:0x2dAEE1AA61D60A252DC80564499A69802853583A,0x2dAEE1AA61D60A252DC80564499A69802853583A,1,Authorship,ATS,4,authorship,,1500388369,
eip155:1/erc20:0x1A0F2aB46EC630F9FD638029027b552aFA64b94c,0x1A0F2aB46EC630F9FD638029027b552aFA64b94c,1,Aston,ATX,18,aston,ASTO,1519344000,
eip155:1/erc20:0xc12d099be31567add4e4e4d0D45691C3F58f5663,0xc12d099be31567add4e4e4d0D45691C3F58f5663,1,Auctus,AUC,18,auctus,,1522090240,
eip155:1/erc20:0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,1,Audius,AUDIO,18,audius,,1603333709,
eip155:1/erc20:0xB705268213D593B8FD88d3FDEFF93AFF5CbDcfAE,0xB705268213D593B8FD88d3FDEFF93AFF5CbDcfAE,1,IDEX Token,IDEX,18,aurora-dao,,1556828898,
eip155:1/erc20:0xCdCFc0f66c522Fd086A1b725ea3c0Eeb9F9e8814,0xCdCFc0f66c522Fd086A1b725ea3c0Eeb9F9e8814,1,Aurora DAO,AURA,18,aurora-dao,IDEX,1506556800,
eip155:1/erc20:0x622dFfCc4e83C64ba959530A5a5580687a57581b,0x622dFfCc4e83C64ba959530A5a5580687a57581b,1,Cube,AUTO,18,cube,,1518620403,
eip155:1/erc20:0xeD247980396B10169BB1d36f6e278eD16700a60f,0xeD247980396B10169BB1d36f6e278eD16700a60f,1,Avalon,AVA,4,,AVA,1503619200,
eip155:1/erc20:0x0d88eD6E74bbFD96B831231638b66C05571e824F,0x0d88eD6E74bbFD96B831231638b66C05571e824F,1,Aventus,AVT,18,aventus,,1499990400,
eip155:1/erc20:0xC39E626A04C5971D770e319760D7926502975e47,0xC39E626A04C5971D770e319760D7926502975e47,1,aXpire,AXPR,18,axpire,,1532111501,
eip155:1/erc20:0x5d51FCceD3114A8bb5E90cDD0f9d682bCbCC5393,0x5d51FCceD3114A8bb5E90cDD0f9d682bCbCC5393,1,B2BX,B2BX,18,b2bcoin-2,B2B,1504483200,
eip155:1/erc20:0x3472A5A71965499acd81997a54BBA8D852C6E53d,0x3472A5A71965499acd81997a54BBA8D852C6E53d,1,Badger,BADGER,18,badger-dao,,1606584722,
eip155:1/erc20:0xba100000625a3754423978a60c9317c58a424e3D,0xba100000625a3754423978a60c9317c58a424e3D,1,Balancer,BAL,18,balancer,,1592616779,
eip155:1/erc20:0x998b3B82bC9dBA173990Be7afb772788B5aCB8Bd,0x998b3B82bC9dBA173990Be7afb772788B5aCB8Bd,1,Banca,BANCA,18,banca,,1517545620,
eip155:1/erc20:0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,1,Band Protocol,BAND,18,band-protocol,,1567987200,
eip155:1/erc20:0x374CB8C27130E2c9E04F44303f3c8351B9De61C1,0x374CB8C27130E2c9E04F44303f3c8351B9De61C1,1,BaoToken,BAO,18,bao-finance,,1606850780,
eip155:1/erc20:0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,1,BitAsean,BAS,8,bitasean,,1496448000,
eip155:1/erc20:0x68A118Ef45063051Eac49c7e647CE5Ace48a68a5,0x68A118Ef45063051Eac49c7e647CE5Ace48a68a5,1,$BASED,$BASED,18,based-money,,1597276800,
eip155:1/erc20:0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,1,Basic Attention Token,BAT,18,basic-attention-token,,1496294094,
eip155:1/erc20:0x9a0242b7a33DAcbe40eDb927834F96eB39f8fBCB,0x9a0242b7a33DAcbe40eDb927834F96eB39f8fBCB,1,BABB,BAX,18,babb,,1509580800,
eip155:1/erc20:0xe7D3e4413E29ae35B0893140F4500965c74365e5,0xe7D3e4413E29ae35B0893140F4500965c74365e5,1,TraDove B2BCoin,BBC,18,tradove,,1508371200,
eip155:1/erc20:0x37D40510a2F5Bc98AA7a0f7BF4b3453Bcfb90Ac1,0x37D40510a2F5Bc98AA7a0f7BF4b3453Bcfb90Ac1,1,BelugaPay,BBI,18,belugapay,,1507939200,
eip155:1/erc20:0x4a6058666cf1057eaC3CD3A5a614620547559fc9,0x4a6058666cf1057eaC3CD3A5a614620547559fc9,1,Brickblock,BBK,18,brickblock,XBB,1500249600,
eip155:1/erc20:0x35a69642857083BA2F30bfaB735dacC7F0bac969,0x35a69642857083BA2F30bfaB735dacC7F0bac969,1,Banyan Network,BBN,18,,BNN,1516419550,
eip155:1/erc20:0x84F7c44B6Fed1080f647E354D552595be2Cc602F,0x84F7c44B6Fed1080f647E354D552595be2Cc602F,1,Bigbom,BBO,18,bigbom-eco,,1522854907,
eip155:1/erc20:0x2ecB13A8c458c379c4d9a7259e202De03c8F3D19,0x2ecB13A8c458c379c4d9a7259e202De03c8F3D19,1,Block-Chain.com,BC,18,block-chain-com,,1523465646,
eip155:1/erc20:0x1f41E42D0a9e3c0Dd3BA15B527342783B43200A9,0x1f41E42D0a9e3c0Dd3BA15B527342783B43200A9,1,Blockchain Capital,BCAP,0,,,1489622400,
eip155:1/erc20:0xb5BB48567BfD0bFE9e4B08EF8b7f91556CC2a112,0xb5BB48567BfD0bFE9e4B08EF8b7f91556CC2a112,1,Bankcoin,BCASH,18,bankcoincash,,1545987364,
eip155:1/erc20:0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,0x1e797Ce986C3CFF4472F7D38d5C4aba55DfEFE40,1,BlockCDN,BCDN,15,blockcdn,,1478681266,
eip155:1/erc20:0xAcfa209Fb73bF3Dd5bBfb1101B9Bc999C49062a5,0xAcfa209Fb73bF3Dd5bBfb1101B9Bc999C49062a5,1,Blockchain Certified Data Token,BCDT,18,blockchain-certified-data-token,BCDT,1513735057,
eip155:1/erc20:0xa9fC65Da36064cE545e87690e06f5de10C52C690,0xa9fC65Da36064cE545e87690e06f5de10C52C690,1,3x Short Bitcoin Cash Token,BCHBEAR,18,3x-short-bitcoin-cash-token,,1566117825,
eip155:1/erc20:0x4C133E081dFB5858e39ccA74E69bf603d409e57A,0x4C133E081dFB5858e39ccA74E69bf603d409e57A,1,3x Long Bitcoin Cash Token,BCHBULL,18,3x-long-bitcoin-cash-token,,1566118953,
eip155:1/erc20:0x2ab05B915C30093679165bcdba9C26D8Cd8BeE99,0x2ab05B915C30093679165bcdba9C26D8Cd8BeE99,1,BitCherry,BCHC,18,bitcherry,,1555983997,
eip155:1/erc20:0xE4f726Adc8e89C6a6017F01eadA77865dB22dA14,0xE4f726Adc8e89C6a6017F01eadA77865dB22dA14,1,PieDAO Balanced Crypto Pie,BCP,18,piedao-balanced-crypto-pie,,1606733040,
eip155:1/erc20:0x1c4481750daa5Ff521A2a7490d9981eD46465Dbd,0x1c4481750daa5Ff521A2a7490d9981eD46465Dbd,1,BlockMason Credit Protocol,BCPT,18,blockmason-credit-protocol,,1491004800,
eip155:1/erc20:0x1014613E2B3CBc4d575054D4982E580d9b99d7B1,0x1014613E2B3CBc4d575054D4982E580d9b99d7B1,1,BitCapitalVendor,BCV,8,bcv,,1516996702,
eip155:1/erc20:0x1961B3331969eD52770751fC718ef530838b6dEE,0x1961B3331969eD52770751fC718ef530838b6dEE,1,BitDegree,BDG,18,bitdegree,,1506556800,
eip155:1/erc20:0x016ee7373248a80BDe1fD6bAA001311d233b3CFa,0x016ee7373248a80BDe1fD6bAA001311d233b3CFa,1,3X Short Bitcoin Token,BEAR,18,3x-short-bitcoin-token,,1552867200,
eip155:1/erc20:0x4D8fc1453a0F359e99c9675954e656D80d996FbF,0x4D8fc1453a0F359e99c9675954e656D80d996FbF,1,Bee Token,BEE,18,bee-coin,,1506556800,
eip155:1/erc20:0xA91ac63D040dEB1b7A5E4d4134aD23eb0ba07e14,0xA91ac63D040dEB1b7A5E4d4134aD23eb0ba07e14,1,Bella,BEL,18,bella-protocol,,1597392058,
eip155:1/erc20:0x2e98A6804E4b6c832ED0ca876a943abD3400b224,0x2e98A6804E4b6c832ED0ca876a943abD3400b224,1,Bela,BELA,18,belacoin,,1388534400,
eip155:1/erc20:0x6aEB95F06CDA84cA345c2dE0F3B7f96923a44f4c,0x6aEB95F06CDA84cA345c2dE0F3B7f96923a44f4c,1,Rentberry,BERRY,14,rentberry,,1519776000,
eip155:1/erc20:0x8aA33A7899FCC8eA5fBe6A608A109c3893A1B8b2,0x8aA33A7899FCC8eA5fBe6A608A109c3893A1B8b2,1,DAO.Casino,BET,18,dao-casino,DAOC,1490054400,
eip155:1/erc20:0x14C926F2290044B647e1Bf2072e67B495eff1905,0x14C926F2290044B647e1Bf2072e67B495eff1905,1,Bethereum,BETHER,18,bethereum,,1523404800,
eip155:1/erc20:0x763186eB8d4856D536eD4478302971214FEbc6A9,0x763186eB8d4856D536eD4478302971214FEbc6A9,1,BetterBetting,BETR,18,betterbetting,,1513209600,
eip155:1/erc20:0x3839d8ba312751Aa0248fEd6a8bACB84308E20Ed,0x3839d8ba312751Aa0248fEd6a8bACB84308E20Ed,1,Bezop,BEZ,18,bezop,,1510876800,
eip155:1/erc20:0x01fF50f8b7f74E4f00580d9596cd3D0d6d6E326f,0x01fF50f8b7f74E4f00580d9596cd3D0d6d6E326f,1,BnkToTheFuture,BFT,18,bnktothefuture,,1517875200,
eip155:1/erc20:0xEE74110fB5A1007b06282e0DE5d73A61bf41d9Cd,0xEE74110fB5A1007b06282e0DE5d73A61bf41d9Cd,1,BHPCash,BHPC,18,blockchain-of-hash-power,,1521075066,
eip155:1/erc20:0x25e1474170c4c0aA64fa98123bdc8dB49D7802fa,0x25e1474170c4c0aA64fa98123bdc8dB49D7802fa,1,Bidao,BID,18,bidao,,1600933448,
eip155:1/erc20:0x08b4c866aE9D1bE56a06e0C302054B4FFe067b43,0x08b4c866aE9D1bE56a06e0C302054B4FFe067b43,1,BitCar,BITCAR,8,bitcar,,1517356800,
eip155:1/erc20:0xF3d29Fb98D2DC5E78c87198DEEF99377345fD6F1,0xF3d29Fb98D2DC5E78c87198DEEF99377345fD6F1,1,Bitpark Coin,BITPARK,8,bitparkcoin,,1471927931,
eip155:1/erc20:0xb3104b4B9Da82025E8b9F8Fb28b3553ce2f67069,0xb3104b4B9Da82025E8b9F8Fb28b3553ce2f67069,1,Bibox Token,BIX,18,bibox-token,,1506657067,
eip155:1/erc20:0xc88Be04c809856B75E3DfE19eB4dCf0a3B15317a,0xc88Be04c809856B75E3DfE19eB4dCf0a3B15317a,1,Bankcoin Cash,BKC,8,bankcoin-cash,,1536969600,
eip155:1/erc20:0x45245bc59219eeaAF6cD3f382e078A461FF9De7B,0x45245bc59219eeaAF6cD3f382e078A461FF9De7B,1,BANKEX,BKX,18,bankex,,1499731200,
eip155:1/erc20:0xCA29db4221c111888a7e80b12eAc8a266Da3Ee0d,0xCA29db4221c111888a7e80b12eAc8a266Da3Ee0d,1,Bolenum,BLN,18,bolenum,BLNM,1497889213,
eip155:1/erc20:0x6F919D67967a97EA36195A2346d9244E60FE0dDB,0x6F919D67967a97EA36195A2346d9244E60FE0dDB,1,Blockcloud,BLOC,18,blockcloud,,1540598400,
eip155:1/erc20:0x107c4504cd79C5d2696Ea0030a8dD4e92601B82e,0x107c4504cd79C5d2696Ea0030a8dD4e92601B82e,1,Bloom,BLT,18,bloom,,1510272000,
eip155:1/erc20:0x539EfE69bCDd21a83eFD9122571a64CC25e0282b,0x539EfE69bCDd21a83eFD9122571a64CC25e0282b,1,Blue Protocol,BLUE,8,blue,,1508198400,
eip155:1/erc20:0xf8aD7dFe656188A23e89da09506Adf7ad9290D5d,0xf8aD7dFe656188A23e89da09506Adf7ad9290D5d,1,Blocery Token,BLY,18,blocery,,1593069593,
eip155:1/erc20:0x5732046A883704404F284Ce41FfADd5b007FD668,0x5732046A883704404F284Ce41FfADd5b007FD668,1,Bluzelle,BLZ,18,bluzelle,,1509494400,
eip155:1/erc20:0xDf6Ef343350780BF8C3410BF062e0C015B1DD671,0xDf6Ef343350780BF8C3410BF062e0C015B1DD671,1,Blackmoon,BMC,8,blackmoon-crypto,,1502236800,
eip155:1/erc20:0xF03045a4C8077e38f3B8e2Ed33b8aEE69edF869F,0xF03045a4C8077e38f3B8e2Ed33b8aEE69edF869F,1,BlockMesh,BMH,18,blockmesh-2,,1518760148,
eip155:1/erc20:0xf028ADEe51533b1B47BEaa890fEb54a457f51E89,0xf028ADEe51533b1B47BEaa890fEb54a457f51E89,1,BMChain,BMT,18,bmchain-token,,1502928000,
eip155:1/erc20:0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,1,BitMart Token,BMX,18,bitmart-token,,1514319340,
eip155:1/erc20:0xB8c77482e45F1F44dE1745F52C74426C631bDD52,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,1,Binance Coin,BNB,18,binancecoin,,1498521600,
eip155:1/erc20:0x6FeBdFC0A9d9502C45343fCE0dF08828dEF44795,0x6FeBdFC0A9d9502C45343fCE0dF08828dEF44795,1,3X Short BNB Token,BNBBEAR,18,3x-short-bnb-token,,1558051200,
eip155:1/erc20:0x9D1a62c2AD99019768b9126fdA004a9952853F6E,0x9D1a62c2AD99019768b9126fdA004a9952853F6E,1,3X Long BNB Token,BNBBULL,18,3x-long-bnb-token,,1558051200,
eip155:1/erc20:0xEf51c9377FeB29856E61625cAf9390bD0B67eA18,0xEf51c9377FeB29856E61625cAf9390bD0B67eA18,1,Bionic,BNC,8,,,1520737614,
eip155:1/erc20:0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,1,Bancor,BNT,18,bancor,,1497657600,
eip155:1/erc20:0xd2d6158683aeE4Cc838067727209a0aAF4359de3,0xd2d6158683aeE4Cc838067727209a0aAF4359de3,1,Bounty0x,BNTY,18,bounty0x,,1508284800,
eip155:1/erc20:0x746DdA2ea243400D5a63e0700F190aB79f06489e,0x746DdA2ea243400D5a63e0700F190aB79f06489e,1,BOSAGORA,BOA,7,bosagora,,1557993540,
eip155:1/erc20:0xDF347911910b6c9A4286bA8E2EE5ea4a39eB2134,0xDF347911910b6c9A4286bA8E2EE5ea4a39eB2134,1,Bob's Repair,BOB,18,bobs_repair,,1513296000,
eip155:1/erc20:0xCc34366E3842cA1BD36c1f324d15257960fCC801,0xCc34366E3842cA1BD36c1f324d15257960fCC801,1,Bonpay,BON,18,bonpay,,1506816000,
eip155:1/erc20:0x3c9d6c1C73b31c837832c72E04D3152f051fc1A9,0x3c9d6c1C73b31c837832c72E04D3152f051fc1A9,1,BoringDAO,BOR,18,boringdao,,1603390844,
eip155:1/erc20:0x26fb86579e371c7AEdc461b2DdEF0A8628c93d3B,0x26fb86579e371c7AEdc461b2DdEF0A8628c93d3B,1,BORA,BORA,18,bora,,1530489600,
